text,topic
"
When the Lunar Society's $500M estimate of the cost of a lunar colony was
mentioned at Making Orbit, somebody asked Jerry Pournelle ""have you talked
to Bill Gates?"".  The answer:  ""Yes.  He says that if he were going to
sink that much money into it, he'd want to run it -- and he doesn't have
the time.""

(Somebody then asked him about Perot.  Answer:  ""Having Ross Perot on your
board may be a bigger problem than not having the money."")",sci.space
"Hello,  I am not sure if this is the right conference to ask this
question, however, Here I go..  I am a commercial fisherman and I 
fell about 3 weeks ago down into the hold of the boat and broke or
cracked a rib and wrenched and bruised my back and left arm.
  My question,  I have been to a doctor and was told that it was 
best to do nothing and it would heal up with no long term effect, and 
indeed I am about 60 % better, however, the work I do is very 
hard and I am still not able to go back to work.  The thing that worries me
is the movement or ""clunking"" I feel and hear back there when I move 
certain ways...  I heard some one talking about the rib they broke 
years ago and that it still bothers them.ÿ.  any opinions?
thanx and cheers",sci.med
"Hello everyone,

	I was hoping someone could help me out.  I'm writing a program
	for my astronautics class for assent of the shuttle into a low
	orbit.  There are two things I'd like to know, First, how much 
	time elapses between launch and the pitch over. Second, what is
	the cross-sectional area of the shuttle, srb's, and ext. tank.

	Thanks for any information, post or e-mail.",sci.space
"




Um, what?  Eddie Murray was a superb first baseman for a *long* time.

Winfield as produced consistently for almsot 20 years, and excellently
on several occasions.  

Dave Kingman's *best* year was like Darryl Strawberry's *typical*
year with the Mets.  

Darrell Evans, too, did a whole lot more than just hit homers, which 
*is* all that Kong did.  



Whom are you talking about?  Yes, Eddie Murray is marginal, but that's
because he's 38 years old.  He wasn't marginal for a *long* time.



Not.  

Smith has hung around for a long time AND fielded the position better 
than anyone else ever has.

Yount stopped being a shortstop about a decade ago, in case you hadn't 
noticed.

One of his two MVP awards was as a centerfielder.



Like whom?  There are many players in the Hall who aren't anywhere near
as goos as the guys you're running down.


That's already the case, by some standards.  But the *bad* players in the 
Hall are all from the 20's and 30's.  Recent picks have generally been
excellent.


No, but who cares?  Was Stan Musial anywhere near as good as Babe Ruth?
Not really.  But he obviously belongs there.

The Hall has generally had about the top 1% of major leaguers.  As 
more players come through the game, more will be in that top 1%.  

And, yes, it's pretty easy to argue that Smith,. Yount, Evans, Winfield,
etc. are in the top 1%.  Dave Kingman on the other hand, was a liability
throughout most of his career.

Of course, Garvey *hasn't* gotten a lot of HOF press, so I don't know
what you mean.  

As for Ryan, is his W-L better than Morris'?  That's what a lot of voters
tend to look at.  And Morris *was* awfully good for a decade, and doesn't
lead MLB history in walks allowed, either.",rec.sport.baseball
":I recently attended an allery seminar.  Steroid Nasal sprays were 
:discussed.  Afterward on a one-on-one basis, I asked the speaker what if 
:none of the Vancanese, Beconase, Nasalide, Nasalcort, or Nasalchrom work 
:nor do any oral decongestants work.  She replied that she saw an article on 
:Vasomotor Rhinitis.  That this is not an allergic reaction and that nothing 
:other than the Afrin's and such would work.  (Which in my case is true).

There has been some recent research on vasomotor rhinitis that shows that
ipratroprium bromide (Atrovent) inhaled nasally is an effective treatment
for many sufferers.  It has been approved for this use and is available
with a nasal adaptor in Canada.  In the US the FDA has yet to approve this
use of the drug, but it is available as an oral inhaler (for COPD), and
these can be adapted for intranasal use.

",sci.med
"
Yeah, yeah, yeah.  I didn't threaten to rip your lips off, did I?
Snort.


Duh.


Listen: thrush is a recognized clinical syndrome with definite
characteristics.  If you have thrush, you have thrush, because you can
see the lesions and do a culture and when you treat it, it generally
responds well, if you're not otherwise immunocompromised.  Noring's
anal-retentive idee fixe on having a fungal infection in his sinuses
is not even in the same category here, nor are these walking neurasthenics
who are convinced they have ""candida"" from reading a quack book.


So?
",sci.med
"



I like the Mariners a lot, but my heart belongs to the Cubs...You can imagine
my frustration when I saw the Cubs nabbing LeFebvre...ARHGGHRGHH!

-John Neuharth",rec.sport.baseball
"
I think this is a little inaccurate, based on Feynman's account of the
software-development process *before* the standdown.  Fred is basically
correct:  no sophisticated tools, just a lot of effort and painstaking
care.  But they got this one right *before* Challenger; Feynman cited
the software people as exemplary compared to the engine people.  (He
also noted that the software people were starting to feel management
pressure to cut corners, but hadn't had to give in to it much yet.)

Among other things, the software people worked very hard to get things
right for the major pre-flight simulations, and considered a failure
during those simulations to be nearly as bad as an in-flight failure.
As a result, the number of major-simulation failures could be counted
on one hand, and the number of in-flight failures was zero.

As Fred mentioned elsewhere, this applies only to the flight software.
Software that runs experiments is typically mostly put together by the
experimenters, and gets nowhere near the same level of Tender Loving Care.
(None of the experimenters could afford it.)",sci.space
"Following a series of miscarriages, my wife was given a transfusion of
my white cells. (The theory as I understand it is that there is some kind
of immune blocking that prevents the body from attacking the pregnancy as
it normally would a ""foreign"" body. Where this blocking is deficient, the
body evicts the ""intruder"", resulting in a miscarriage. The white cells
apparently enhance the blocking capability.) Following the transfusion, she
successfully carried the next pregnancy to term, and Jake is now an active
9 month-old who cannot wait to walk.
     We're now thinking about having another child, but no one (including
the OBGYN who supervised the first transfusion) really seems to know
whether or not the transfusion process needs to be repeated for successive
pregnancies.
     Is there anyone in net-land who has experience with this?
Thanks...Gene (and Jane and Jake)",sci.med
"
Hi Janet,

Sounds exactly like mine.  Same circumstance, same onset symptoms, 
same cafergot uselessness, same duration.  In fact, of all the people
I know who have migraines, none have been so similar.  There is such
a wide variation between people with respect to what causes their
headaches, that I generally don't bother sharing what I've learned
about mine, but since ours seem to be alike, here are my observations.

I don't think it's heat, per se (I've had more in winter than summer).
Dehydration could conceivably figure, though.  Try tanking up before
playing rather than after.

Being in shape doesn't seem to help me much, either.

I've identified four factors that do make a difference (listed in 
descending order of importance):

1) Heavy exercise
2) Sleep deprivation
3) Fasting		(e.g., skipped breakfast)
4) Physical trauma	(e.g., head bonk)

Heavy exercise has preceded all of my post-adolescent migraines, but I 
don't get migraines after every heavy exercise session.  One or more of 
the other factors *must* be present (usually #2).  Since I discovered 
this, I've been nearly migraine-free -- relapsing only once every two 
or three years when I get cocky (""It's been so long, maybe I just don't 
get them anymore"") and stop being careful.

Hope this is helpful.",sci.med
"I am looking for a source of American League baseball stats for
individual players in the same format as printed in newspapers, ie. I do
not want to provide a list of players and get back nice printed reports
for $35 a week.

Does anyone know of such statistics availability and an idea of the
cost?",rec.sport.baseball
"I may not be the world's greatest expert on chiggers (a type of
mite indigenous to the south), but I certainly have spent a lot
of time contemplating the little buggers over the past six years
(since we moved to N.C.).  Here are some observations gained from
painful experience:

  1. Reactions to chiggers vary greatly from person to person.
     Some people get tiny red bites.  Others (like me) are more
     sensitive and get fairly large swollen sore-like affairs.

  2. Chigger bites are the gift that keeps on giving.  I swear
     that these things will itch for months.

  3. There is a lot of folklore about chiggers.  I think most of
     it is fiction.  I have tried to do research on the critters,
     since they have such an effect on me.  The only book I could
     find on the subject was a *single* book in UNC's special
     collections library.  I have not yet gone through what is
     required to get it.

  4. Based on my experience and that of my family members, the old
     folk remedy of fingernail polish simply doesn't work.  I recall
     reading that the theory upon which it is based (that the chiggers
     burrow into your skin and continue to party there) is false.  I
     think it is more likely that the reaction is to toxins of some
     sort the little pests release.  But this is speculation.

  5. The *best* approach is prevention.  A couple of things work well.
     A good insect repellent (DEET) such as Deep Woods Off liberally
     applied to ankles, waistband, etc. is a good start.  There is
     another preparation called ""Chig Away"" that is a combination of
     sulfur and some kind of cream (cortisone?) that originally was
     prepared for the Army and is not commercially available.  In
     the summer I put this on my ankles every morning when I get
     up on weekends since I literally can't go outside where we
     live (in the country) without serious consequences.  (They
     apparently don't like sulfur much at all.  You can use sulfur
     as a dust on your body or clothing to repel them.)

  6. No amount of prevention will be *completely* successful.  Forget
     the fingernail polish.  I have finally settled upon a treatment
     that involves topical application of a combination of cortisone
     creme (reduces the inflamation and swelling) and benzocaine
     (relieves the itch).  I won't tell you all the things I've tried.
     Nor will I tell you some of the things my wife does since this
     counts as minor surgery and is best not mentioned (I also think
     it gains nothing).

  7. The swelling and itching can also be significantly relieved
     by the application of hot packs, and this seems to speed recovery
     as well.

Doctors seem not to care much about chiggers.  The urban and suburban
doctors apparently don't encounter them much.  And the rural doctors
seem to regard them as a force of nature that one must endure.  I
suspect that anyone who could come up with a good treatment for chiggers
would make a *lot* of money.",sci.med
"You may want to inquire about taking Lupron as a medication. It's
supposed to be a new treatment, and it's described in Nov. 1992
issue of J. of Obst. and Gyn.",sci.med
"This is generally called phimosis..usually it is due to an inflammation, and ca
n be retracted in the physician's offfice rather eaaasily.  One should see a GP
, or in complicated cases, a urologist.
",sci.med
"
Hrm. Sandy Alomar, 24 year old rookie: 132 games, .290/.326/.418. Threw
out a few baserunners. Benito Santiago, 22 year old rookie: 146 games,
.300/.324/.467. He threw out a few baserunners, too. Ivan Rodriguez,
*20* year old rookies: 88 games, .264/.276/.354. Didn't exactly suck
behind the plate.


True. Which only makes it more important to realize when you have one of the
few. Lopez' season last year, adjusted to major league equivalencies, was
.306/.330/.472, 15 HRs. How bad does he have to be behind the plate for that
to not be better than Olson's .238/.316/.328?

 Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com",rec.sport.baseball
